idtrattamento,idprodotto,idregistro,coltura,dataInizio,superficieInEttari,nomeprodotto,quantitaProdotto,unitaDiMisuraProdotto,avversita,note,approvazione
1,1,7,mele,2020-08-15,220,"Centurion 240 Neo",50.00,5l,"Porco infame brucia","Cerca dci colpire un pollo con un bazooka",NULL
21,7,2,peperone,2018-01-20,0.1,"Vydate 104",5.50,kg,galligeni,"si impiega da solo; tarare le attrezzature; int. sicurezza non necessario",NULL
22,7,2,patata,2018-02-01,0.45,"Vydate 104",24.75,kg,cisticoli,"si impiega da solo; tarare le attrezzature; int. sicurezza non necessario",NULL
23,6,2,melanzana,2018-02-23,0.5,Afromyl,5.00,l,galligeni,,NULL
24,7,2,patata,2018-01-10,0.15,"Vydate 104",8.25,kg,cisticoli,"si impiega da solo; tarare le attrezzature; int. sicurezza non necessario",NULL
25,2,2,pomodoro,2018-02-24,0.25,Heliocuivre,0.50,l,batteriosi,"non compat. con prod. a reazione alcalina; operare senza vento",NULL
26,5,2,patata,2018-03-02,0.35,"Microthiol Disperss",1.75,kg,oidio,"attenzione: fitotossico a temperature elevate",NULL
27,2,2,vite,2018-03-14,0.45,Heliocuivre,0.90,l,peronospora,"non compat. con prod. a reazione alcalina; operare senza vento",NULL
28,4,2,pero,2018-03-16,0.1,"Matacar FL",0.03,l,"ragnetto rosso delle piante da frutto","per miglior risultato bagnare il terreno",NULL
29,4,2,melo,2018-04-19,0.55,"Matacar FL",0.19,l,"ragnetto rosso delle piante da frutto","per miglior risultato bagnare il terreno",NULL
30,1,2,soia,2018-04-23,0.45,"Centurion 140 Neo",0.56,l,sanguinella,,NULL
31,3,2,farro,2018-05-02,0.15,Priaxor,0.22,l,"ruggine gialla","compatibile con altri prodotti; non applicare con mezzi aerei",NULL
32,3,2,farro,2018-05-29,0.2,Priaxor,0.30,l,septoria,"compatibile con altri prodotti; non applicare con mezzi aerei",NULL
33,5,2,pomodoro,2018-06-04,0.6,"Microthiol Disperss",3.00,kg,oidio,"attenzione: fitotossico a temperature elevate",NULL
34,8,2,lattuga,2018-06-28,0.6,"XenTari WG",1.20,kg,nottuidi,"aggiungere bagnante adesivante; non compat. con sostanze alcaline",NULL
35,8,2,lattuga,2018-07-20,0.5,"XenTari WG",1.00,kg,nottua,"aggiungere bagnante adesivante; non compat. con sostanze alcaline",NULL
36,8,2,soia,2018-07-22,0.25,"XenTari WG",0.25,kg,ifantria,"aggiungere bagnante adesivante; non compat. con sostanze alcaline",NULL
37,4,2,melo,2018-08-09,0.1,"Matacar FL",0.03,l,"ragnetto rosso comune","per miglior risultato bagnare il terreno",NULL
38,7,2,melanzana,2018-08-22,0.35,"Vydate 104",19.25,kg,galligeni,"si impiega da solo; tarare le attrezzature; int. sicurezza non necessario",NULL
39,2,2,olivo,2018-09-10,0.1,Heliocuivre,0.20,l,fumaggine,"non compat. con prod. a reazione alcalina; operare senza vento",NULL
40,3,2,orzo,2018-10-15,0.55,Priaxor,0.82,l,oidio,"compatibile con altri prodotti; non applicare con mezzi aerei",NULL
61,3,4,pomodoro,2020-06-10,0.8,"Centurion 240 Neo",0.60,5l,giavone,"Attento pericoloso al bagnato",NULL
62,3,4,farro,2020-01-10,0.45,Priaxor,0.68,5l,septoria,"compatibile conf altri prodotti; non applicare con mezzi aerei",NULL
63,8,4,lattuga,2020-06-20,0.4,"XenTari WG",0.80,kg,nottide,"aggiungere bagnante adesivante; non compat. con sostanze alcaline",NULL
64,8,4,pomodoro,2020-05-22,0.45,"XenTari WG",0.45,kg,tignola,"aggiungere bagnante adesivante; non compat. con sostanze alcaline",NULL
85,3,4,frumento,2020-06-25,0.5,Priaxor,0.75,5l,tignola,adfsdfgasfda,NULL
86,8,4,agrumi,2020-06-25,0.5,"XenTari WG",0.40,5kg,tignola,asdfasdfas,NULL
99,7,3,peperone,2018-01-20,0.1,"Vydate 104",5.50,kg,galligeni,"si impiega da solo; tarare le attrezzature; int. sicurezza non necessario",NULL
104,8,4,agrumi,2020-07-01,0.5,"XenTari WG",0.40,5kg,tignola,asdfasdf,NULL
105,8,4,olivo,2020-06-09,0.58,"XenTari WG",0.46,5kg,tignola,asdfasdfada,NULL
106,3,7,frumento,2020-06-25,0.5,Priaxor,0.75,5l,"Porco Infame ",asdfasdfasdf,NULL
107,3,7,orzo,2020-06-23,0.5,Priaxor,0.75,5l,"Porco Infam 2",asdfasdfasdfa,NULL
108,3,7,frumento,2020-06-15,0.5,Priaxor,0.50,5l,asdfsdf,asdfadf,NULL
109,3,7,frumento,2020-06-25,0.5,Priaxor,0.75,5l,sdfsd,asdfas,NULL
110,3,7,frumento,2020-06-25,0.5,Priaxor,0.75,5l,dfsg,sdfgs,NULL
111,4,7,agrumi,2020-06-25,0.5,"Matacar FL",0.10,1l,gfsdgs,gsdfg,NULL
112,4,7,agrumi,2020-06-25,0.5,"Matacar FL",0.10,1l,gfsdgs,gsdfg,NULL
113,1,7,pomodoro,2020-06-25,0.5,"Centurion 240 Neo",0.75,5l,gdg,gs,NULL
114,1,7,pomodoro,2020-06-25,0.4,"Centurion 240 Neo",0.60,5l,sdfgsd,sdfgsdfg,NULL
115,3,7,frumento,2020-06-25,0.5,Priaxor,0.75,5l,sdfg,sdfgsdf,NULL
